run_id,label,100000,300000,500000,700000,1000000,1500000,2000000,2500000,3000000
run34_ppo,PPO baseline,2.820776,3.166253,2.138872,1.838439,2.112967,2.112967,2.112967,2.112967,2.112967
run35_icm,PPO + ICM,3.289899,1.806270,2.431740,2.332533,2.386662,2.386662,2.386662,2.386662,2.386662
run36_rnd,PPO + RND,2.899799,2.603945,2.624915,2.423595,2.620732,2.620732,2.620732,2.620732,2.620732
run42_lstm,PPO + LSTM,1.644800,2.093943,2.186877,2.211979,2.709267,2.709267,2.709267,2.709267,2.709267
run46_curriculum,PPO + Curriculum,5.590364,4.150760,3.595087,3.106820,3.414168,4.033328,3.534015,3.923101,4.119769
run47_curr_lstm,Curriculum + LSTM,5.476117,4.146820,3.121953,3.543967,4.034469,3.444636,3.555342,4.082560,3.635638
run50_curr_icm,Curriculum + ICM,6.452828,3.903893,4.093389,2.995118,3.556350,3.556350,3.556350,3.556350,3.556350
run54_fixed_v2,4-tier fixed-to-random,5.333264,4.125143,3.723025,4.292817,4.032064,3.591513,3.293235,4.343106,4.084332
run55_reward_v2,Curriculum + reward v2,13.149447,9.944783,9.835448,8.913659,9.354756,9.813178,8.755324,9.945110,9.332810
